HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	Entrez Gene ID	Ensembl Gene ID	RefSeq IDs	Vega ID	OMIM ID(supplied by OMIM)	UniProt ID(supplied by UniProt)
HGNC:20	AARS	alanyl-tRNA synthetase	Approved		CMT2N	16q22.1	D32050	16	ENSG00000090861	NM_001605	OTTHUMG00000177042	601065	P49588
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Approved	AARSL	KIAA1270, bA444E17.1	6p21.1	AB033096	57505	ENSG00000124608	NM_020745	OTTHUMG00000014766	612035	Q5JTZ9
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	Approved		MGC2744	17q21.31	BC004172	80755	ENSG00000266967	NM_001261434	OTTHUMG00000153515	613212	Q9BTE6
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	Approved		NRPS998, LYS2, ACSF4	4q12	AF516672	132949	ENSG00000157426	NM_181806	OTTHUMG00000128841	614365	Q4L235
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved		LYS5, CGI-80, AASD-PPT	11q22	AF302110	60496	ENSG00000149313	NM_015423	OTTHUMG00000166253	607756	Q9NRN7
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	Approved		LORSDH, LKRSDH	7q31.3	AF229180	10157	ENSG00000008311	NM_005763	OTTHUMG00000157058	605113	Q9UDR5
HGNC:19235	AATF	apoptosis antagonizing transcription factor	Approved		DED, CHE-1, CHE1, BFR2	17q12	AF083208	26574	ENSG00000275700	NM_012138	OTTHUMG00000188458	608463	Q9NY61
HGNC:21	AATK	apoptosis-associated tyrosine kinase	Approved		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	17q25.3	AB014541	9625	ENSG00000181409	NM_004920	OTTHUMG00000132717	605276	Q6ZMQ8
HGNC:23	ABAT	4-aminobutyrate aminotransferase	Approved		GABAT	16p13.2	L32961	18	ENSG00000183044	NM_020686	OTTHUMG00000048201	137150	P80404
HGNC:29	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	Approved	ABC1, HDLDT1	TGD	9q31	AJ012376	19	ENSG00000165029	NM_005502	OTTHUMG00000020417	600046	O95477
HGNC:32	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	Approved	ABC2		9q34	U18235	20	ENSG00000107331	NM_001606	OTTHUMG00000020958	600047	Q9BZC7
HGNC:33	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	Approved	ABC3	ABC-C, EST111653, LBM180	16p13.3	U78735	21	ENSG00000167972	NM_001089	OTTHUMG00000128845	601615	Q99758
HGNC:34	ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	Approved	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	1p22	U88667	24	ENSG00000198691	NM_000350	OTTHUMG00000010622	601691	P78363
HGNC:35	ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	Approved		EST90625	17q24.3	U66672	23461	ENSG00000154265	NM_018672	OTTHUMG00000180303	612503	Q8WWZ7
HGNC:36	ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6	Approved		EST155051	17q21	U66680	23460	ENSG00000154262	NM_080284		612504	Q8N139
HGNC:37	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	Approved		ABCX	19p13.3	AF328787	10347	ENSG00000064687	NM_019112	OTTHUMG00000167547	605414	Q8IZY2
HGNC:38	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	Approved		KIAA0822	17q24	AB020629	10351	ENSG00000141338	NM_007168		612505	O94911
HGNC:39	ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9	Approved		EST640918	17q24	AF423307	10350	ENSG00000154258	NM_172386	OTTHUMG00000140371	612507	Q8IUA7
HGNC:30	ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10	Approved		EST698739	17q24	AY247065	10349	ENSG00000154263	NM_080282	OTTHUMG00000164716	612508	Q8WWZ4
HGNC:14637	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	Approved	ICR2B	DKFZP434G232, LI2	2q34	AF418105	26154	ENSG00000144452	NM_173076	OTTHUMG00000154801	607800	Q86UK0
HGNC:14638	ABCA13	ATP-binding cassette, sub-family A (ABC1), member 13	Approved		FLJ33876, FLJ33951	7p12.3	AY204751	154664	ENSG00000179869	NM_152701	OTTHUMG00000155840	607807	Q86UQ4
HGNC:40	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	Approved	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	7q21.12	M14758	5243	ENSG00000085563	NM_000927	OTTHUMG00000023393	171050	P08183
HGNC:45	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	Approved	PGY3, MDR3	MDR2, PFIC-3, GBD1	7q21	M23234	5244	ENSG00000005471	NM_000443	OTTHUMG00000023396	171060	P21439
HGNC:46	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	Approved		EST422562, ABCB5beta, ABCB5alpha	7p14	U66692	340273	ENSG00000004846	NM_178559	OTTHUMG00000094789	611785	Q2M3G0
HGNC:47	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)	Approved		EST45597, umat, MTABC3	2q36	AF070598	10058	ENSG00000115657	NM_005689	OTTHUMG00000133131	605452	Q9NP58
HGNC:48	ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	Approved	ABC7	EST140535, Atm1p, ASAT	Xq13.3	AF038950	22	ENSG00000131269	NM_004299	OTTHUMG00000021862	300135	O75027
HGNC:49	ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	Approved		EST328128, M-ABC1, MABC1	7q36.1	AF047690	11194	ENSG00000197150	NM_007188	OTTHUMG00000158686	605464	Q9NUT2
HGNC:50	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	Approved		EST122234	12q24	U66676	23457	ENSG00000150967	NM_019624		605453	Q9NP78
HGNC:41	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	Approved		EST20237, M-ABC2, MTABC2	1q32	U18237	23456	ENSG00000135776	NM_012089	OTTHUMG00000039471	605454	Q9NRK6
HGNC:42	ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	Approved	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	2q24	AF091582	8647	ENSG00000073734	NM_003742	OTTHUMG00000154039	603201	O95342
HGNC:51	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	Approved	MRP, MRP1	GS-X	16p13.1	L05628	4363	ENSG00000103222	NM_004996	OTTHUMG00000048267	158343	P33527
HGNC:53	ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	Approved	CMOAT	DJS, MRP2, cMRP	10q24	U63970	1244	ENSG00000023839	NM_000392	OTTHUMG00000018895	601107	Q92887
HGNC:54	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	Approved		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	17q21	Y17151	8714	ENSG00000108846	NM_020038	OTTHUMG00000162245	604323	O15438
HGNC:55	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	Approved		MRP4, EST170205, MOAT-B, MOATB	13q31	U66682	10257	ENSG00000125257	NM_005845	OTTHUMG00000017216	605250	O15439
HGNC:56	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	Approved		MRP5, SMRP, EST277145, MOAT-C	3q27	AF104942	10057	ENSG00000114770	NM_005688	OTTHUMG00000156871	605251	O15440
HGNC:57	ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	Approved	ARA, PXE	MRP6, EST349056, MLP1, URG7	16p13.11	AF076622	368	ENSG00000091262		OTTHUMG00000129967	603234	O95255
HGNC:59	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	Approved	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	11p15.1	L78207	6833	ENSG00000006071	NM_000352	OTTHUMG00000166316	600509	Q09428
HGNC:60	ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	Approved		SUR2, CMD1O	12p12.1	AF061323	10060	ENSG00000069431	NM_005691	OTTHUMG00000169094	601439	O60706
HGNC:52	ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	Approved		EST182763, MRP7, SIMRP7	6p12.3	U66684	89845	ENSG00000124574	NM_033450	OTTHUMG00000014733	612509	Q5T3U5
HGNC:14639	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	Approved		MRP8	16q12	AF367202	85320	ENSG00000121270	NM_032583	OTTHUMG00000133146	607040	Q96J66
HGNC:14640	ABCC12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	Approved		MRP9	16q12.1	AY040220	94160	ENSG00000140798	NM_033226	OTTHUMG00000133143	607041	Q96J65
HGNC:61	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	Approved	ALD	AMN, ALDP, adrenoleukodystrophy	Xq28	Z21876	215	ENSG00000101986	NM_000033	OTTHUMG00000024215	300371	P33897
HGNC:66	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	Approved	ALDL1	ALDR, ALDRP	12q12	U28150	225	ENSG00000173208	NM_005164	OTTHUMG00000169337	601081	Q9UBJ2
HGNC:67	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	Approved	PXMP1	PMP70, ZWS2	1p21.3	M81182	5825	ENSG00000117528	NM_002858	OTTHUMG00000010717	170995	P28288
HGNC:68	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	Approved	PXMP1L	PMP69, P70R, EST352188	14q24	AF009746	5826	ENSG00000119688	NM_005050	OTTHUMG00000171207	603214	O14678
HGNC:69	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	Approved	RNASEL1, RNASELI, RNS4I	RLI, OABP	4q31	X74987	6059	ENSG00000164163	NM_002940	OTTHUMG00000161478	601213	P61221
HGNC:70	ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	Approved	ABC50	EST123147	6p21.33	AF027302	23	ENSG00000204574		OTTHUMG00000031094	603429	Q8NE71
HGNC:71	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	Approved		EST133090, ABC28, M-ABC1, HUSSY-18	7q36.1	AJ005016	10061	ENSG00000033050	NM_005692	OTTHUMG00000154570	612510	Q9UG63
HGNC:72	ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3	Approved		EST201864	3q27.1	U66685	55324	ENSG00000161204	NM_018358	OTTHUMG00000156824		Q9NUQ8
HGNC:73	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	Approved		ABC8	21q22.3	U34919	9619	ENSG00000160179	NM_207174	OTTHUMG00000086791	603076	P45844
HGNC:74	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)	Approved		EST157481, MXR, BCRP, ABCP, CD338	4q22.1	AF103796	9429	ENSG00000118777	NM_004827	OTTHUMG00000130601	603756	Q9UNQ0
HGNC:13884	ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4	Approved		WHITE2	11q23	AJ300465	64137	ENSG00000172350	NM_022169	OTTHUMG00000166169	607784	Q9H172
HGNC:13886	ABCG5	ATP-binding cassette, sub-family G (WHITE), member 5	Approved		STSL	2p21	T93792	64240	ENSG00000138075	NM_022436	OTTHUMG00000128758	605459	Q9H222
HGNC:13887	ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8	Approved		GBD4	2p21	AF320294	64241	ENSG00000143921	NM_022437	OTTHUMG00000128756	605460	Q9H221
HGNC:17553	ABHD1	abhydrolase domain containing 1	Approved		LABH1, FLJ36128	2p23.3	AK093447	84696	ENSG00000143994	NM_032604	OTTHUMG00000097072	612195	Q96SE0
HGNC:18717	ABHD2	abhydrolase domain containing 2	Approved		LABH2	15q26.1	X12433	11057	ENSG00000140526		OTTHUMG00000148684	612196	P08910
HGNC:18718	ABHD3	abhydrolase domain containing 3	Approved		LABH3	18q11.1	AK024880	171586	ENSG00000158201			612197	Q8WU67
HGNC:20154	ABHD4	abhydrolase domain containing 4	Approved		FLJ12816	14q11.1	AK022878	63874	ENSG00000100439		OTTHUMG00000028686		Q8TB40
HGNC:21396	ABHD5	abhydrolase domain containing 5	Approved		CGI-58, NCIE2	3p21.33	AF007132	51099	ENSG00000011198	NM_016006	OTTHUMG00000133039	604780	Q8WTS1
HGNC:21398	ABHD6	abhydrolase domain containing 6	Approved			3p21.2	AF225418	57406	ENSG00000163686	NM_020676	OTTHUMG00000159150		Q9BV23
HGNC:23759	ABHD8	abhydrolase domain containing 8	Approved		FLJ11743, MGC14280, MGC2512	19p13.12	AK021805	79575	ENSG00000127220	NM_024527			Q96I13
HGNC:25656	ABHD10	abhydrolase domain containing 10	Approved		FLJ11342	3q13.2	AL713726	55347	ENSG00000144827	NM_018394	OTTHUMG00000159280		Q9NUJ1
HGNC:16407	ABHD11	abhydrolase domain containing 11	Approved	WBSCR21	PP1226	7q11.23	AF217971	83451	ENSG00000106077		OTTHUMG00000130029		Q8NFV4
HGNC:15868	ABHD12	abhydrolase domain containing 12	Approved	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	20p11.21	AL117442	26090	ENSG00000100997	NM_015600	OTTHUMG00000032121	613599	Q8N2K0
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	Approved	C14orf29	BEM46L3	14q21.3	BG698443	145447	ENSG00000131969		OTTHUMG00000140286		Q7Z5M8
HGNC:20293	ABHD13	abhydrolase domain containing 13	Approved	C13orf6	bA153I24.2, FLJ14906, BEM46L1	13q33.2	AK027812	84945	ENSG00000139826	NM_032859	OTTHUMG00000017330		Q7L211
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	Approved		DKFZP564O243, DORZ1	3p21.1	AY358201	25864	ENSG00000248487	NM_015407	OTTHUMG00000157818		Q9BUJ0
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	Approved		MGC15429, CIB	3p21.2	AK075112	84836	ENSG00000114779	NM_032750	OTTHUMG00000157816		Q96IU4
HGNC:26971	ABHD15	abhydrolase domain containing 15	Approved			17q11.2	AK056717	116236	ENSG00000168792	NM_198147			Q6UXT9
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	Approved	BAT5	NG26, D6S82E	6p21.3	AF129756	7920	ENSG00000204427		OTTHUMG00000031177	142620	O95870
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	Approved	C20orf135	dJ591C20.1	20q13.33		140701	ENSG00000183260		OTTHUMG00000033010		Q9H3Z7
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	Approved	C19orf27, FAM108A1	MGC5244	19p13.3	BC020512	81926	ENSG00000129968	NM_031213	OTTHUMG00000171872		Q96GS6
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	Approved	C9orf77, FAM108B1	CGI-67	9q21.2	AF151825	51104	ENSG00000107362	NM_016014	OTTHUMG00000020001		Q5VST6
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	Approved	FAM108C1		15q25.1		58489	ENSG00000136379	NM_021214			Q6PCB6
HGNC:11320	ABI1	abl-interactor 1	Approved	SSH3BP1	E3B1, ABI-1	10p12.1	U87166	10006	ENSG00000136754	NM_005470	OTTHUMG00000017848	603050	Q8IZP0
HGNC:24011	ABI2	abl-interactor 2	Approved		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33	AF260261	10152	ENSG00000138443	NM_005759	OTTHUMG00000132879	606442	Q9NYB9
HGNC:29859	ABI3	ABI family, member 3	Approved		NESH, SSH3BP3	17q21.3	AB037886	51225	ENSG00000108798	NM_016428	OTTHUMG00000161306	606363	Q9P2A4
HGNC:17265	ABI3BP	ABI family, member 3 (NESH) binding protein	Approved		NESHBP, DKFZP586L2024, TARSH	3q12.2	AB056106	25890	ENSG00000154175		OTTHUMG00000159094	606279	Q7Z7G0
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Approved	ABL	JTK7, c-ABL, p150	9q34.1	M14752	25	ENSG00000097007	NM_007313	OTTHUMG00000020813	189980	P00519
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Approved	ABLL	ARG	1q25.2	M14904	27	ENSG00000143322	NM_005158	OTTHUMG00000035199	164690	P42684
HGNC:78	ABLIM1	actin binding LIM protein 1	Approved	LIMAB1, ABLIM	abLIM, limatin	10q25	AF005654	3983	ENSG00000099204		OTTHUMG00000019088	602330	O14639
HGNC:19195	ABLIM2	actin binding LIM protein family, member 2	Approved		KIAA1808	4p16.1	AB058711	84448	ENSG00000163995	NM_001130083	OTTHUMG00000057427	612544	Q6H8Q1
HGNC:29132	ABLIM3	actin binding LIM protein family, member 3	Approved		KIAA0843	5q33.1	AB020650	22885	ENSG00000173210	NM_014945	OTTHUMG00000129932	611305	O94929
HGNC:79	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	Approved		A3GALNT, A3GALT1	9q34.2	AF134415	28	ENSG00000175164	NM_020469	OTTHUMG00000020872	110300	P16442
HGNC:81	ABR	active BCR-related	Approved		MDB	17p13	L19704	29	ENSG00000159842		OTTHUMG00000090313	600365	Q12979
HGNC:30655	ABRA	actin binding Rho activating protein	Approved		STARS	8q23.1	AF503617	137735	ENSG00000174429	NM_139166	OTTHUMG00000164809	609747	Q8N0Z2
HGNC:21230	ABRACL	ABRA C-terminal like	Approved	C6orf115	PRO2013, HSPC280, Costars	6q24.1	BC014953	58527	ENSG00000146386	NM_021243	OTTHUMG00000015684		Q9P1F3
HGNC:17369	ABT1	activator of basal transcription 1	Approved			6p21.31	AB027258	29777	ENSG00000146109		OTTHUMG00000016319		Q9ULW3
HGNC:18275	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	Approved		BPOZ, EF1ABP, Btb3, BTBD21	3q21	AB053324	80325	ENSG00000114626	NM_172027	OTTHUMG00000159636	608308	Q969K4
HGNC:23842	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2	Approved		DKFZP586C1619, BTBD22, ABTB2A	11p13	AK056863	25841	ENSG00000166016	NM_145804	OTTHUMG00000044382		Q8N961
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	Approved			3p22.2	X14813	30	ENSG00000060971	NM_001607	OTTHUMG00000131087	604054	P09110
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	Approved		DSAEC	18q21	D16294	10449	ENSG00000167315	NM_006111	OTTHUMG00000132667	604770	P42765
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	Approved	ACAC, ACC	ACC1	17q12	U19822	31	ENSG00000278540	NM_198836	OTTHUMG00000188463	200350	Q13085
HGNC:85	ACACB	acetyl-CoA carboxylase beta	Approved		HACC275, ACC2, ACCB	12q24.1	U89344	32	ENSG00000076555	NM_001093	OTTHUMG00000169250	601557	O00763
HGNC:87	ACAD8	acyl-CoA dehydrogenase family, member 8	Approved			11q25	AF126245	27034	ENSG00000151498	NM_014384	OTTHUMG00000167177	604773	Q9UKU7
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family, member 9	Approved		NPD002, MGC14452	3q21.3	AF078854	28976	ENSG00000177646	NM_014049	OTTHUMG00000159942	611103	Q9H845
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family, member 10	Approved		MGC5601	12q24.12	AY323912	80724	ENSG00000111271	NM_025247	OTTHUMG00000169602	611181	Q6JQN1
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family, member 11	Approved		FLJ12592	3q22.1	BC019607	84129	ENSG00000240303	NM_032169	OTTHUMG00000159780	614288	Q709F0
HGNC:88	ACADL	acyl-CoA dehydrogenase, long chain	Approved		LCAD, ACAD4	2q34	M74096	33	ENSG00000115361	NM_001608	OTTHUMG00000132989	609576	P28330
HGNC:89	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Approved		MCAD, MCADH, ACAD1	1p31	M16827	34	ENSG00000117054		OTTHUMG00000009784	607008	P11310
HGNC:90	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	Approved		SCAD, ACAD3	12q24.31	M26393	35	ENSG00000122971	NM_000017	OTTHUMG00000169203	606885	P16219
HGNC:91	ACADSB	acyl-CoA dehydrogenase, short/branched chain	Approved		SBCAD, ACAD7	10q26.13	U12778	36	ENSG00000196177	NM_001609	OTTHUMG00000019200	600301	P45954
HGNC:92	ACADVL	acyl-CoA dehydrogenase, very long chain	Approved		VLCAD, LCACD, ACAD6	17p13.1	BC012912	37	ENSG00000072778	NM_000018	OTTHUMG00000102157	609575	P49748
HGNC:319	ACAN	aggrecan	Approved	MSK16, CSPG1, AGC1	CSPGCP	15q26.1	M55172	176	ENSG00000157766	NM_001135	OTTHUMG00000171989	155760	P16112
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Approved	CENTB1	KIAA0050	17p13.1	D30758	9744	ENSG00000072818	NM_014716	OTTHUMG00000102199	607763	Q15027
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Approved	CENTB2	KIAA0041, CNT-B2	3q29		23527	ENSG00000114331	NM_012287	OTTHUMG00000155885	607766	Q15057
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Approved	CENTB5	KIAA1716	1p36	AF411981	116983	ENSG00000131584	NM_030649	OTTHUMG00000002235		Q96P50
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	Approved	ACAT	THIL	11q22.3	D90228	38	ENSG00000075239	NM_000019	OTTHUMG00000166381	607809	P24752
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	Approved			6q25.3	AF356877	39	ENSG00000120437	NM_005891	OTTHUMG00000015935	100678	Q9BWD1
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	Approved	GOLPH1, GOCAP1	GCP60, PAP7	1q41	AB043587	64746	ENSG00000182827	NM_022735	OTTHUMG00000037560	606809	Q9H3P7
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	Approved		FLJ13322	17q21.31	BC029164	79777	ENSG00000181513	NM_024722	OTTHUMG00000180111		Q8NC06
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	Approved		DKFZp434A2417, KIAA1996	10p12.1	AF505653	91452	ENSG00000107897	NM_145698	OTTHUMG00000017854		Q5T8D3
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	Approved		MGC2404	1q25.3	BC006505	84320	ENSG00000230124	NM_032360	OTTHUMG00000035117	616352	Q9BR61
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	Approved		FLJ38219, bA455B2.2	10p13	AK095538	414149	ENSG00000176244		OTTHUMG00000017725		Q8N6N7
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	Approved		PHACS, ACS	11p11	AY026508	84680	ENSG00000110455	NM_032592	OTTHUMG00000166427	608405	Q96QU6
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like	Approved			11p11.2		390110	ENSG00000205126	NM_001031854	OTTHUMG00000166426		Q4AC99
HGNC:25070	ACD	adrenocortical dysplasia homolog (mouse)	Approved		Ptop, Pip1, Tpp1, Tint1	16q22	AF070535	65057	ENSG00000102977	NM_022914	OTTHUMG00000137547	609377	Q96AP0
